0	1093	979	845	646	588	962	958	934	828	697	501	443	817	814	790	684	553	356	299	673	670	646	539	409	212	154	529	525	502	
1	87	72	72	55	43	90	73	88	73	72	56	44	91	73	88	73	73	56	44	92	73	89	73	73	57	44	92	74	89	
4	25	17	20	33	14	26	3	20	15	15	33	11	24	0	16	12	12	30	8	21	0	13	9	9	27	6	18	0	10	
5	10	13	16	3	12	11	4	2	6	8	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	12	6	7	0	4	8	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	20	22	15	11	0	24	20	20	20	13	8	0	21	17	17	17	10	6	0	19	15	15	15	8	3	0	16	12	12	
11	14	25	21	13	17	25	27	13	21	17	10	14	21	24	9	18	14	6	10	18	20	5	14	10	2	6	14	16	1	
13	22	23	12	19	9	24	11	20	21	9	16	7	20	8	17	18	6	13	4	17	5	14	15	3	10	1	15	2	11	
15	28	33	21	20	18	21	24	25	30	18	17	14	18	20	22	27	15	13	11	15	17	19	24	12	10	8	11	14	15	
18	7	10	5	0	2	7	0	4	7	2	0	0	4	0	1	4	0	0	0	1	0	0	1	0	0	0	0	0	0	
19	5	2	0	0	0	0	7	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	25	30	34	27	32	29	29	26	31	35	28	33	29	29	27	32	35	29	34	30	30	28	33	36	30	35	31	31	29	
22	27	30	35	15	17	31	36	29	32	36	16	19	33	37	30	33	38	18	20	34	39	32	35	39	19	22	36	40	34	
24	8	5	1	0	0	4	6	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	11	12	7	1	6	14	6	11	13	8	3	6	14	6	11	13	8	3	6	15	6	12	13	8	3	6	15	7	12	
38	23	23	24	11	11	18	26	19	21	22	9	9	16	24	18	19	21	8	7	15	22	16	18	19	6	6	13	21	14	
39	40	39	38	34	29	47	41	41	41	40	36	30	49	42	43	42	41	38	32	51	44	44	44	43	39	34	52	46	46	
43	39	42	36	36	35	44	47	41	44	38	38	37	46	49	43	46	40	40	39	48	51	45	48	42	42	41	50	53	47	
45	8	3	6	5	11	9	6	6	1	4	3	9	7	4	4	0	2	1	7	5	2	2	0	0	0	5	3	0	0	
47	17	6	8	11	11	19	14	15	5	7	10	10	18	13	14	4	6	9	8	17	12	13	3	4	7	7	16	10	11	
50	38	34	15	10	10	19	18	30	20	7	6	5	8	7	24	17	2	0	0	3	3	18	9	0	0	0	0	0	11	
52	16	11	8	5	2	8	9	17	10	8	5	2	8	9	16	10	7	5	2	8	9	16	10	7	5	2	8	9	16	
57	38	32	29	27	27	38	40	36	32	29	28	28	39	42	38	33	31	30	30	41	43	39	35	33	31	31	42	45	41	
73	7	5	8	4	3	3	4	7	5	8	5	3	3	4	7	5	8	5	3	3	4	7	5	8	5	3	3	5	7	
75	2	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
76	19	16	16	11	13	17	15	19	16	17	12	13	17	15	19	16	16	12	13	17	15	19	16	16	12	13	17	15	19	
77	28	24	19	13	15	22	19	24	23	18	13	12	22	21	25	22	18	12	12	21	20	24	22	17	12	11	21	20	23	
82	13	17	9	11	7	11	10	13	16	9	11	7	10	10	13	16	9	10	7	10	10	13	16	9	10	7	10	9	13	
84	11	9	11	9	7	9	10	13	7	9	9	7	9	10	12	8	9	9	7	9	10	13	8	9	9	7	9	10	12	
87	14	11	10	13	12	13	16	14	11	10	13	12	13	16	14	11	10	13	12	13	16	14	11	10	13	12	13	16	14	
88	28	25	24	23	15	25	22	26	25	25	21	18	27	22	28	26	26	23	19	28	24	28	27	27	24	20	29	25	30	
89	8	8	6	8	8	4	4	7	9	6	8	8	4	5	8	9	7	8	8	4	5	8	9	7	8	8	4	5	8	
104	17	19	13	14	8	16	18	17	19	13	14	8	16	18	17	19	13	14	8	16	18	17	19	13	14	9	16	18	17	
105	27	28	26	25	25	27	30	27	29	27	26	27	29	31	29	30	29	28	28	30	33	30	32	30	29	30	32	35	32	
107	7	5	2	8	9	4	3	7	5	2	7	9	4	2	6	5	1	7	9	3	2	6	5	1	7	8	3	2	6	
109	11	10	12	5	4	7	12	11	10	12	5	3	7	12	11	10	12	4	3	7	11	10	9	12	4	3	7	11	10	
121	9	7	7	6	5	10	9	8	7	6	6	5	9	9	8	7	6	6	5	9	9	8	6	6	5	5	9	9	8	
122	7	2	0	2	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	2	
125	11	11	9	7	5	10	8	12	12	9	7	5	11	8	12	12	9	8	6	11	9	12	12	10	8	6	11	9	13	
129	24	22	23	20	17	22	25	25	23	25	21	19	24	26	26	25	26	23	20	25	27	27	26	27	24	21	26	29	29	
136	6	9	10	7	10	10	8	6	9	10	8	10	10	8	7	9	10	8	10	10	8	7	9	10	8	10	10	8	7	
138	12	9	9	5	10	12	11	16	11	7	6	10	9	10	15	11	8	6	10	10	11	16	11	8	7	11	10	11	16	
139	10	5	7	5	3	10	10	7	7	6	5	5	8	9	7	6	6	4	4	8	8	7	5	5	4	4	7	8	6	
150	20	17	17	16	15	20	20	22	18	19	17	16	21	21	23	19	20	18	17	22	22	24	20	21	19	18	23	23	25	
153	12	15	11	11	9	13	12	13	15	12	12	9	14	13	13	15	12	12	9	14	13	13	16	12	12	9	14	13	13	
156	1	2	0	0	2	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
158	21	22	23	16	13	24	21	23	22	24	13	13	24	24	23	23	24	14	13	25	24	24	23	25	15	13	25	24	24	
163	3	2	2	1	4	1	4	2	3	2	0	2	1	5	2	2	1	0	3	0	4	2	2	1	0	2	0	4	1	
167	11	11	9	9	8	8	12	10	11	8	8	8	8	11	11	11	9	9	8	9	11	11	11	9	9	9	9	11	11	
170	3	4	2	2	0	0	2	2	4	2	0	0	1	2	2	4	2	0	0	1	2	2	4	2	0	0	1	2	2	
181	9	6	8	7	11	11	9	9	6	8	7	11	12	9	10	7	9	7	12	12	10	10	7	9	8	12	12	10	10	
